domain,description,sector,industry,period_start,period_end,in_list,industry_rank,global_rank,redirects,monthly_visits,unique_visitors,visits_per_visitor,visit_duration,pages_per_visit,bounce_rate,page_views
photos.google.com,Google Photos,,,2023-11,2024-1,0,,,0,257100000.00000003,,,449.0,20.85,0.2659,5360000000.0
picasa.google.com,Retired Picasa site now available as Google Photos app,,,2023-11,2024-1,0,,,0,501920.0,,,31.0,1.52,0.6437,762911.0
play.google.com,Google Play Store,,,2023-11,2024-1,0,,,0,1087000000.0,,,119.0,2.58,0.6102000000000001,2804000000.0
podcasts.google.com,Google Podcasts,,,2023-11,2024-1,0,,,0,8586000.0,,,159.0,2.57,0.5352,22060000.0
podcastsmanager.google.com,,,,2023-11,2024-1,0,,,0,184005.0,,,129.0,4.74,0.46,872025.0
scholar.google.com,Google Scholar,,,2023-11,2024-1,0,,,0,135700000.0,,,443.0,5.99,0.2967,814000000.0
search.google.com,Google Search,,,2023-11,2024-1,0,,,1,39120000.0,,,342.0,6.17,0.332,241400000.0
shopping.google.com,,Ecommerce and Shopping,Coupons and Rebates,2023-11,2024-1,1,65.0,19850.0,0,3520000.0,,,78.0,2.79,0.5859000000000001,9830000.0
sites.google.com,Google Sites,,,2023-11,2024-1,0,,,0,212100000.0,,,210.0,3.17,0.5456,672500000.0
stadia.google.com,Google Stadia gaming platform,,,2023-11,2024-1,0,,,0,654773.0,,,16.0,2.01,0.6269,1315000.0
storage.googleapis.com,,Computers Electronics and Technology,Computers Electronics and Technology - Other,2023-11,2024-1,1,67.0,1764.0,0,39560000.0,,,162.0,2.19,0.6219,86780000.0
store.google.com,Google product store,,,2023-11,2024-1,0,,,0,28930000.0,,,119.0,3.57,0.4938,103200000.0
support.google.com,Google products support,,,2023-11,2024-1,0,,,0,1484000000.0,,,101.0,1.91,0.6026,2835000000.0
translate.google.com,Google Translate website,,,2023-11,2024-1,0,,,0,693700000.0,,,482.0,26.35,0.2605,18280000000.0
videos.google.com,Google video search page,,,2023-11,2024-1,0,,,0,38577.0,,,1.0,1.07,0.8611,41256.0
voice.google.com,,,,2023-11,2024-1,0,,,0,67770000.0,,,372.0,3.87,0.47,262200000.0
wearos.google.com,,,,2023-11,2024-1,0,,,0,731707.0,,,84.0,2.85,0.42,2084000.0
workspace.google.com,Google Workspace,,,2023-11,2024-1,0,,,0,53600000.0,,,130.0,2.86,0.528,153300000.0
